Pressure,Temperature,Salinity,Oxygen,Transmissometer,Biospherical PAR,Fluorometer ,Wetlabs OBS
335,9.207,34.654,258.3,99.72,0,0.070799999,0
336,9.206,34.654,258.36,99.72,0,0.077660339,0
337,9.206,34.655,258.41,99.72,0,0.075588412,0
338,9.206,34.654,258.31,99.72,0,0.063500002,0
339,9.205,34.654,258.27,99.72,0,0.067954326,0
340,9.205,34.654,258.33,99.72,0,0.068212798,0
341,9.205,34.654,258.39,99.72,0,0.068825828,0
342,9.204,34.654,258.45,99.72,0,0.069438858,0
343,9.204,34.654,258.52,99.72,0,0.070110277,0
344,9.203,34.654,258.55,99.73,0,0.07046022,0
345,9.202,34.654,258.47,99.73,0,0.070799999,0
346,9.2,34.653,258.32,99.73,0,0.070799999,0
347,9.198,34.653,258.21,99.73,0,0.070802772,0
348,9.193,34.653,258.33,99.73,0,0.070910587,0
349,9.188,34.652,258.49,99.73,0,0.070974356,0
350,9.182,34.651,258.64,99.73,0,0.071038125,0
351,9.177,34.651,258.81,99.73,0,0.071075342,0
352,9.171,34.65,259.05,99.73,0,0.071020873,0
353,9.166,34.649,259.18,99.73,0,0.071235951,0
354,9.164,34.649,258.99,99.72,0,0.071811648,0
355,9.162,34.649,258.98,99.71,0,0.055479474,0
356,9.16,34.649,258.82,99.72,0,0.070799999,0
357,9.157,34.648,258.72,99.72,0,0.070799999,0
358,9.145,34.647,258.73,99.73,0,0.07025897,0
359,9.14,34.646,258.78,99.71,0,0.063867868,0
360,9.137,34.646,258.87,99.71,0,0.065943119,0
361,9.134,34.646,258.95,99.72,0,0.066939089,0
362,9.13,34.645,259.04,99.72,0,0.067935059,0
363,9.127,34.645,259.12,99.73,0,0.068931029,0
364,9.123,34.644,259.21,99.73,0,0.069980641,0
365,9.12,34.644,259.28,99.73,0,0.071303641,0
366,9.119,34.644,259.38,99.74,0,0.070799999,0
367,9.116,34.643,259.57,99.73,0,0.066759718,0
368,9.112,34.643,259.68,99.73,0,0.064455655,0
369,9.105,34.642,259.77,99.73,0,0.064992629,0
370,9.099,34.641,259.85,99.73,0,0.065217629,0
371,9.092,34.64,259.94,99.73,0,0.065442629,0
372,9.086,34.64,260.03,99.73,0,0.065667629,0
373,9.079,34.639,260.15,99.73,0,0.064419775,0
374,9.076,34.638,260.11,99.73,0,0.070692841,0
375,9.076,34.638,260.25,99.74,0,0.069577086,0
376,9.074,34.638,260.53,99.74,0,0.067527156,0
377,9.074,34.638,260.78,99.74,0,0.065408724,0
378,9.073,34.637,261.03,99.75,0,0.063407261,0
379,9.072,34.637,261.02,99.73,0,0.067504701,0
380,9.07,34.637,260.94,99.74,0,0.066953095,0
381,9.069,34.637,260.86,99.76,0,0.063500002,0
382,9.068,34.637,260.91,99.75,0,0.063684755,0
383,9.062,34.636,261.16,99.75,0,0.070799999,0
384,9.056,34.635,261.39,99.75,0,0.070799999,0
385,9.05,34.634,261.49,99.75,0,0.070799999,0
386,9.041,34.633,261.49,99.75,0,0.071094032,0
387,9.035,34.632,261.35,99.75,0,0.058607142,0
388,9.032,34.632,261.41,99.75,0,0.067892467,0
389,9.027,34.631,261.53,99.75,0,0.069574581,0
390,9.021,34.63,261.63,99.75,0,0.070446081,0
391,9.016,34.63,261.67,99.75,0,0.071242512,0
392,9.015,34.63,261.87,99.73,0,0.071178009,0
393,9.015,34.629,262.08,99.74,0,0.070799999,0
394,9.015,34.629,262.21,99.75,0,0.071170598,0
395,9.013,34.629,262.32,99.75,0,0.07096898,0
396,9.012,34.629,262.44,99.74,0,0.070834143,0
397,9.01,34.628,262.57,99.75,0,0.071313559,0
398,9.009,34.628,262.54,99.75,0,0.071238204,0
399,9.007,34.628,262.66,99.73,0,0.070799999,0
400,9.004,34.628,262.62,99.72,0,0.069405669,0
401,9.001,34.627,262.63,99.73,0,0.066517878,0
402,8.998,34.627,262.63,99.73,0,0.063833704,0
403,8.995,34.626,262.63,99.73,0,0.061149531,0
404,8.993,34.626,262.62,99.74,0,0.059073786,0
405,8.989,34.626,262.67,99.74,0,0.053998285,0
406,8.988,34.625,262.84,99.75,0,0.061087162,0
407,8.985,34.625,262.94,99.75,0,0.063412743,0
408,8.983,34.625,263.04,99.75,0,0.064885526,0
409,8.981,34.624,263.14,99.75,0,0.06635831,0
410,8.979,34.624,263.24,99.75,0,0.067831094,0
411,8.976,34.624,263.34,99.75,0,0.06935048,0
412,8.974,34.623,263.48,99.74,0,0.070799999,0
413,8.971,34.623,263.29,99.73,0,0.070799999,0
414,8.968,34.622,263.32,99.47,0,0.069894962,0
415,8.967,34.622,263.46,99.72,0,0.063500002,0
416,8.967,34.622,263.68,99.75,0,0.063878201,0
417,8.967,34.622,263.82,99.75,0,0.064607949,0
418,8.967,34.622,263.97,99.75,0,0.065282574,0
419,8.968,34.622,264.15,99.76,0,0.065967735,0
420,8.968,34.622,264.15,99.76,0,0.065493432,0
421,8.967,34.622,264.22,99.75,0,0.067292217,0
422,8.968,34.622,264.3,99.75,0,0.069878676,0
423,8.967,34.622,264.29,99.75,0,0.070215603,0
424,8.966,34.622,264.28,99.76,0,0.070431763,0
425,8.966,34.622,264.27,99.77,0,0.070680104,0
426,8.963,34.621,264.25,99.77,0,0.070799999,0
427,8.963,34.621,264.11,99.75,0,0.070799999,0
428,8.961,34.621,264.17,99.75,0,0.070799999,0
429,8.957,34.62,264.15,99.75,0,0.070799999,0
430,8.955,34.62,264.07,99.76,0,0.07079037,0
431,8.953,34.62,263.86,99.76,0,0.070799999,0
432,8.951,34.619,263.81,99.77,0,0.070790917,0
433,8.948,34.619,264.03,99.77,0,0.070740788,0
434,8.946,34.619,264.2,99.77,0,0.070691396,0
435,8.943,34.618,264.38,99.77,0,0.070642004,0
436,8.941,34.618,264.56,99.77,0,0.070592612,0
437,8.938,34.617,264.73,99.77,0,0.07054322,0
438,8.936,34.617,264.91,99.77,0,0.070713981,0
439,8.935,34.617,265.05,99.77,0,0.070051486,0
440,8.935,34.617,265.09,99.77,0,0.070799999,0
441,8.935,34.617,264.97,99.78,0,0.070799999,0
442,8.935,34.617,264.87,99.78,0,0.070799999,0
443,8.934,34.617,264.63,99.77,0,0.071042664,0
444,8.932,34.616,264.72,99.77,0,0.070687717,0
445,8.93,34.616,264.79,99.77,0,0.07021164,0
446,8.928,34.616,264.86,99.77,0,0.069735564,0
447,8.926,34.615,264.93,99.77,0,0.069259487,0
448,8.926,34.615,265.01,99.76,0,0.069844623,0
449,8.919,34.614,264.99,99.77,0,0.064050898,0
450,8.916,34.614,264.88,99.77,0,0.068990025,0
451,8.911,34.613,264.79,99.77,0,0.057396114,0
452,8.909,34.613,264.91,99.76,0,0.067515113,0
453,8.907,34.612,265.05,99.78,0,0.070799999,0
454,8.906,34.612,265.08,99.78,0,0.066847981,0
455,8.904,34.612,265.12,99.77,0,0.057409517,0
456,8.903,34.612,265.16,99.78,0,0.063637322,0
457,8.9,34.611,265.24,99.78,0,0.064294606,0
